// Hoe text model file	1.00
// Gejza'x	
// "Tovarna_exp.max" - Fri Sep 23 17:55:24 2005


Stream s_Tovarna[xyz|normal|tex2]
	39.252190, 25.550398, -7.227829;	0.001925, 0.650254, 0.759715;	 0.797306, 0.940687
	39.252190, 25.550398, -7.227829;	0.001925, 0.650254, 0.759715;	 0.758470, 0.940707
	39.252190, 25.550398, -7.227829;	0.001925, 0.650254, 0.759715;	 0.000000, 1.000000
	39.286625, 25.550398, -7.262264;	0.814422, 0.421415, 0.398905;	 0.797306, 0.940687
	39.286625, 25.550398, -7.262264;	0.814422, 0.421415, 0.398905;	 0.000000, 1.000000
	39.286625, 25.550398, -7.262264;	0.814422, 0.421415, 0.398905;	 0.797306, 0.940687
	39.286625, 25.550398, -7.262264;	0.814422, 0.421415, 0.398905;	 0.985474, 0.452296
	39.286625, 25.550398, -7.262264;	0.814422, 0.421415, 0.398905;	 0.422319, 0.244725
	39.286625, 29.808798, -10.872759;	0.002071, 0.999996, -0.001743;	 0.777907, 0.965131
	35.638813, 25.550398, -10.841199;	-0.759460, 0.650552, -0.001782;	 0.758470, 0.940707
	35.638813, 25.550398, -10.841199;	-0.759460, 0.650552, -0.001782;	 0.000000, 1.000000
	35.638813, 25.550398, -10.841199;	-0.759460, 0.650552, -0.001782;	 0.000000, 1.000000
	35.670376, 25.550398, -10.872759;	-0.461277, 0.356427, -0.812517;	 0.758470, 0.940707
	35.670376, 25.550398, -10.872759;	-0.461277, 0.356427, -0.812517;	 0.000000, 1.000000
	35.670376, 25.550398, -10.872759;	-0.461277, 0.356427, -0.812517;	 0.866256, 0.461766
	35.670376, 25.550398, -10.872759;	-0.461277, 0.356427, -0.812517;	 0.900742, 0.452445
	32.473183, 25.550398, -10.872759;	0.000000, 1.000000, 0.000000;	 0.307464, 0.789775
	32.473183, 0.000000, -10.872759;	0.000000, -1.000000, 0.000000;	 0.000000, 1.000000
	35.670376, 0.000000, -10.872759;	0.000000, -0.707107, -0.707107;	 0.000000, 1.000000
	35.670376, 0.000000, -10.872759;	0.000000, -0.707107, -0.707107;	 0.866257, 0.635271
	35.638813, 0.000000, -10.841199;	-0.500000, -0.707107, -0.500000;	 0.000000, 1.000000
	35.638813, 0.000000, -10.841199;	-0.500000, -0.707107, -0.500000;	 0.900518, 0.635699
	39.286625, 25.550398, 0.199081;	0.000000, 1.000000, 0.000000;	 0.000000, 1.000000
	8.839272, 25.550398, -10.872759;	0.586219, 0.620216, -0.521229;	 0.713750, 0.988924
	8.839272, 25.550398, -10.872759;	0.586219, 0.620216, -0.521229;	 0.731114, 0.461768
	8.839272, 25.550398, -10.872759;	0.586219, 0.620216, -0.521229;	 0.899880, 0.431826
	5.219427, 29.808798, -10.872759;	-0.002315, 0.999997, -0.000694;	 0.733241, 0.965042
	5.219427, 25.550398, -7.265861;	-0.648449, 0.574924, 0.498976;	 0.752899, 0.988913
	5.219427, 25.550398, -7.265861;	-0.648449, 0.574924, 0.498976;	 0.984633, 0.431766
	5.219427, 25.550398, -7.265861;	-0.648449, 0.574924, 0.498976;	 0.682724, 0.463083
	8.870831, 25.550398, -10.841199;	0.000000, 1.000000, 0.000000;	 0.713750, 0.988924
